ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0006383	transcription by RNA polymerase III	57	-0.47975507479171	-1.53582404144696	0.00810957121884862	0.0452914910816835	0.0329731869971646	4830	tags=47%, list=27%, signal=35%	ENSG00000168137/ENSG00000115524/ENSG00000023608/ENSG00000177700/ENSG00000166478/ENSG00000174953/ENSG00000174446/ENSG00000186184/ENSG00000145734/ENSG00000119041/ENSG00000013503/ENSG00000125484/ENSG00000144161/ENSG00000164975/ENSG00000116679/ENSG00000141564/ENSG00000112592/ENSG00000241258/ENSG00000113356/ENSG00000100413/ENSG00000132382/ENSG00000161980/ENSG00000155115/ENSG00000165732/ENSG00000122034/ENSG00000147669/ENSG00000124795
BP	GO:0045446	endothelial cell differentiation	84	0.389508035107311	1.50592632345288	0.00811047118051414	0.0452914910816835	0.0329731869971646	2847	tags=33%, list=16%, signal=28%	ENSG00000132510/ENSG00000067182/ENSG00000114739/ENSG00000170989/ENSG00000087274/ENSG00000137710/ENSG00000067900/ENSG00000107798/ENSG00000182621/ENSG00000204217/ENSG00000136280/ENSG00000185551/ENSG00000106397/ENSG00000147065/ENSG00000172936/ENSG00000232810/ENSG00000117707/ENSG00000133639/ENSG00000123728/ENSG00000107263/ENSG00000066056/ENSG00000182871/ENSG00000134318/ENSG00000179820/ENSG00000079385/ENSG00000168036/ENSG00000115170/ENSG00000152939
BP	GO:0006611	protein export from nucleus	57	-0.479383753575001	-1.53463534312633	0.00821698119825376	0.0458499749931043	0.03337977538731	3768	tags=47%, list=21%, signal=38%	ENSG00000151929/ENSG00000100614/ENSG00000137770/ENSG00000116288/ENSG00000086589/ENSG00000152104/ENSG00000082146/ENSG00000082898/ENSG00000130227/ENSG00000171720/ENSG00000187446/ENSG00000160710/ENSG00000132953/ENSG00000136810/ENSG00000102898/ENSG00000160117/ENSG00000108953/ENSG00000138376/ENSG00000072062/ENSG00000113013/ENSG00000132661/ENSG00000179218/ENSG00000100401/ENSG00000169180/ENSG00000124207/ENSG00000136938/ENSG00000132341
BP	GO:0090276	regulation of peptide hormone secretion	130	0.345028063569328	1.41185481835037	0.0082305277790221	0.0458892588343422	0.0334083748750321	2392	tags=25%, list=13%, signal=22%	ENSG00000167470/ENSG00000124766/ENSG00000175567/ENSG00000103496/ENSG00000126368/ENSG00000112033/ENSG00000087460/ENSG00000205726/ENSG00000108946/ENSG00000084093/ENSG00000166501/ENSG00000149577/ENSG00000166128/ENSG00000169992/ENSG00000182621/ENSG00000183044/ENSG00000143420/ENSG00000010310/ENSG00000080298/ENSG00000110719/ENSG00000184381/ENSG00000150995/ENSG00000077463/ENSG00000276045/ENSG00000134852/ENSG00000172375/ENSG00000088256/ENSG00000232810/ENSG00000102225/ENSG00000100644/ENSG00000204681/ENSG00000162337/ENSG00000110090
BP	GO:0043062	extracellular structure organization	173	0.320299551841631	1.36282474388677	0.00824589211647809	0.0459333968928255	0.0334405083381021	2690	tags=24%, list=15%, signal=20%	ENSG00000163346/ENSG00000075618/ENSG00000067182/ENSG00000140564/ENSG00000105290/ENSG00000116260/ENSG00000149084/ENSG00000150093/ENSG00000105993/ENSG00000143387/ENSG00000090006/ENSG00000117385/ENSG00000168610/ENSG00000107036/ENSG00000081148/ENSG00000077150/ENSG00000163297/ENSG00000105329/ENSG00000182718/ENSG00000168487/ENSG00000101439/ENSG00000086619/ENSG00000130508/ENSG00000074054/ENSG00000151445/ENSG00000166949/ENSG00000104884/ENSG00000106397/ENSG00000184937/ENSG00000141098/ENSG00000142156/ENSG00000232810/ENSG00000107742/ENSG00000137845/ENSG00000168477/ENSG00000123384/ENSG00000066056/ENSG00000197930/ENSG00000069399/ENSG00000182197/ENSG00000160588
CC	GO:0034774	secretory granule lumen	224	0.306108484624172	1.35660273255337	0.00825146942623137	0.0459333968928255	0.0334405083381021	1170	tags=19%, list=6%, signal=18%	ENSG00000105220/ENSG00000064666/ENSG00000108828/ENSG00000013364/ENSG00000145287/ENSG00000205542/ENSG00000197102/ENSG00000102265/ENSG00000030582/ENSG00000102316/ENSG00000197694/ENSG00000116260/ENSG00000180448/ENSG00000166710/ENSG00000163191/ENSG00000064601/ENSG00000067225/ENSG00000108679/ENSG00000021355/ENSG00000111679/ENSG00000160209/ENSG00000130755/ENSG00000120868/ENSG00000134996/ENSG00000170043/ENSG00000078902/ENSG00000167925/ENSG00000185198/ENSG00000149781/ENSG00000185127/ENSG00000100299/ENSG00000140319/ENSG00000135677/ENSG00000105329/ENSG00000163536/ENSG00000182718/ENSG00000069974/ENSG00000122862/ENSG00000067900/ENSG00000204386/ENSG00000060971/ENSG00000197548/ENSG00000135932
BP	GO:0032801	receptor catabolic process	28	0.514896553636131	1.5840047387459	0.00826854594357336	0.0459921565773051	0.0334832866617556	1636	tags=32%, list=9%, signal=29%	ENSG00000140564/ENSG00000107331/ENSG00000014216/ENSG00000126581/ENSG00000105329/ENSG00000182718/ENSG00000097033/ENSG00000162511/ENSG00000164885
BP	GO:0034341	response to type II interferon	96	0.38015016595421	1.4971675314251	0.00828817384700817	0.0460287323960226	0.0335099146503986	2217	tags=31%, list=12%, signal=28%	ENSG00000115415/ENSG00000159840/ENSG00000103496/ENSG00000168961/ENSG00000185201/ENSG00000131408/ENSG00000162434/ENSG00000125347/ENSG00000170310/ENSG00000049245/ENSG00000111640/ENSG00000140853/ENSG00000136854/ENSG00000167657/ENSG00000117228/ENSG00000196776/ENSG00000225697/ENSG00000067066/ENSG00000185885/ENSG00000138071/ENSG00000141510/ENSG00000198668/ENSG00000105401/ENSG00000161921/ENSG00000015285/ENSG00000117226/ENSG00000164849/ENSG00000142089/ENSG00000172780/ENSG00000232810
BP	GO:0001952	regulation of cell-matrix adhesion	93	0.370785756800973	1.46294272128429	0.00828613242100799	0.0460287323960226	0.0335099146503986	2028	tags=29%, list=11%, signal=26%	ENSG00000186575/ENSG00000071054/ENSG00000171862/ENSG00000152818/ENSG00000137076/ENSG00000127603/ENSG00000198728/ENSG00000120899/ENSG00000126353/ENSG00000145675/ENSG00000167657/ENSG00000141503/ENSG00000197747/ENSG00000115109/ENSG00000067900/ENSG00000074054/ENSG00000145715/ENSG00000122861/ENSG00000166949/ENSG00000169398/ENSG00000147044/ENSG00000132670/ENSG00000114125/ENSG00000126458/ENSG00000165699/ENSG00000146904/ENSG00000169499
CC	GO:1902493	acetyltransferase complex	101	-0.43103640951248	-1.51306490982393	0.00833092629628082	0.0462297585898258	0.0336562660758274	3172	tags=41%, list=17%, signal=34%	ENSG00000102221/ENSG00000120533/ENSG00000183495/ENSG00000064313/ENSG00000196284/ENSG00000175792/ENSG00000163635/ENSG00000108773/ENSG00000139977/ENSG00000136518/ENSG00000129292/ENSG00000163875/ENSG00000183011/ENSG00000103510/ENSG00000163872/ENSG00000147162/ENSG00000139620/ENSG00000187778/ENSG00000083168/ENSG00000196363/ENSG00000071243/ENSG00000111300/ENSG00000148229/ENSG00000187325/ENSG00000172534/ENSG00000164134/ENSG00000096070/ENSG00000124422/ENSG00000117505/ENSG00000276234/ENSG00000148835/ENSG00000077684/ENSG00000135341/ENSG00000127337/ENSG00000168291/ENSG00000169976/ENSG00000174579/ENSG00000273841/ENSG00000135801/ENSG00000121579/ENSG00000189091
