logFC	AveExpr	t	P.Value	adj.P.Val	B	gene
-1.60538576069899	5.78927508833874	-32.1760039349561	1.14407395856818e-15	2.63452422655805e-13	26.2908746800899	ENSG00000147533
-1.03385328459258	8.84118849820652	-32.1957296025944	1.13335743013065e-15	2.63452422655805e-13	26.2666568274711	ENSG00000067560
-1.08148767980132	8.63962326306611	-32.1746467148051	1.14481525796527e-15	2.63452422655805e-13	26.2623194734077	ENSG00000143742
-1.00784298966777	9.65569065049914	-32.1978610810361	1.13220585021656e-15	2.63452422655805e-13	26.246421908349	ENSG00000164104
-1.1885609758316	7.28267300598451	-32.0486119684582	1.21593067259366e-15	2.72908884293243e-13	26.2439746238527	ENSG00000164109
-2.04253853344722	5.80046123932679	-32.0541128311699	1.21273070519048e-15	2.72908884293243e-13	26.222097732847	ENSG00000147955
-1.14270955617752	7.84095198774017	-31.9424862038586	1.27945628733175e-15	2.83664820776723e-13	26.173768453786	ENSG00000073111
1.53505816468232	6.65597552930266	31.5676887868845	1.53358796199862e-15	3.28007401754529e-13	26.0265517030593	ENSG00000155966
1.24676106977149	7.48145648969854	31.6112891107186	1.50144331679748e-15	3.28007401754529e-13	26.0250405073426	ENSG00000106123
-1.79755249235185	5.38141918848873	-31.4669550493272	1.6106863033612e-15	3.40491592966357e-13	25.8991592837481	ENSG00000154978
1.01881474682417	9.23964575406063	31.4009619907574	1.66342227903438e-15	3.47597896929253e-13	25.8618794958909	ENSG00000124766
1.31229891268684	6.73503293079929	31.0233116878106	2.00273420673744e-15	4.13746680437349e-13	25.7562166967138	ENSG00000204304
-2.26900539009992	4.81334572739387	-31.5893623434742	1.51751848090862e-15	3.28007401754529e-13	25.7216451922292	ENSG00000111247
1.3821757787066	6.53375995522697	30.9139901350268	2.11416572644843e-15	4.24893068278186e-13	25.7057101609377	ENSG00000139182
1.48490425239556	5.99729471274624	30.8718558631698	2.15885710388118e-15	4.26608936397389e-13	25.6806046471202	ENSG00000123240
-1.4807899056716	6.28914679738871	-30.8396693215901	2.19367340261008e-15	4.28827768381197e-13	25.6702474132363	ENSG00000007968
-1.20738985762811	8.10361729215776	-30.9036100223586	2.12508371152674e-15	4.24893068278186e-13	25.6467434695878	ENSG00000112118
-1.0000693323335	9.86976786577105	-30.9019810890841	2.12680248698102e-15	4.24893068278186e-13	25.591968045022	ENSG00000189403
-3.24605361818742	4.38595030752554	-32.7633192734185	8.66547267499869e-16	2.25054704616395e-13	25.5872516245119	ENSG00000070087
1.2691251293283	6.79758244493919	30.4905088084581	2.61216090589878e-15	4.84582502747346e-13	25.4865085096895	ENSG00000115415
-1.57893820323619	5.66423765105447	-30.4425960359005	2.6759059773824e-15	4.91393643119313e-13	25.4513960302108	ENSG00000124615
-1.4819164763361	6.41922409148488	-30.3602634729073	2.7893388136194e-15	5.07101796316007e-13	25.4293312205775	ENSG00000164687
-1.00194312743873	8.8697855477111	-30.5139778199214	2.58152770772265e-15	4.84582502747346e-13	25.4202323222549	ENSG00000132646
-2.10450155151299	4.87004245817799	-30.7652306020657	2.27650151992107e-15	4.40285081193246e-13	25.4021171609374	ENSG00000120915
-0.919279232529531	9.95563863259938	-30.490628020487	2.61200433006417e-15	4.84582502747346e-13	25.3776902022735	ENSG00000169994
-1.0770328348683	7.710500918679	-30.3356796461885	2.8241918096463e-15	5.08354525736335e-13	25.3701234515929	ENSG00000144354
-1.11870429842987	7.31207113551883	-30.1708789631922	3.07012426805143e-15	5.47204501893872e-13	25.3017945430996	ENSG00000274752
1.49174752957881	5.79841375709761	30.0257703544316	3.30555153851891e-15	5.80739514728169e-13	25.2519781268058	ENSG00000176105
