READ1	READ2	READ3	READ4
0	0	0	0
0	0	0	0
0	0	0	0
0	2	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	1	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3	9	13	14
0	0	0	0
0	0	0	0
0	0	0	0
0	1	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3	0	1	0
0	0	1	0
0	0	0	0
34	31	62	47
0	0	0	0
0	1	1	2
0	0	0	0
0	0	0	0
0	0	0	0
1	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	3	0
16	25	33	40
0	0	0	0
0	0	0	0
0	0	0	0
14	10	6	4
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	3	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
9	17	25	18
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	2
0	0	0	0
0	2	2	1
0	0	0	0
0	0	0	0
0	2	8	4
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4	8	9	6
293	455	516	474
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5	15	1	7
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	3	0	0
16	22	78	61
8	5	4	4
0	1	0	0
277	405	196	178
14	35	7	12
0	0	2	1
1	2	12	11
0	0	0	0
